-0.91,2.01,4.43,
-0.88,1.96,4.37,
-0.89,1.93,4.4,
-0.89,1.91,4.4,
-0.75,1.9,4.2,
-0.72,1.9,4.14,
-0.71,1.88,4.17,
-0.78,1.79,4.81,
-1.01,6.75,6.68,
-0.67,2.13,4.42,
-0.61,1.83,4.05,
-0.68,2.4,4.61,
-0.59,1.85,4.05,
-0.59,1.83,4.04,
-0.56,1.82,4.02,
-0.51,1.82,3.96,
-0.57,2.36,4.65,
-0.62,1.63,5.07,
-0.57,2.35,4.65,
-0.49,1.85,3.97,
-0.5,1.76,4.12,
-0.47,1.82,3.94,
-0.44,1.73,4.07,
-0.44,1.75,4.04,
-0.44,1.73,4.04,
-0.46,1.7,4.35,
-0.49,3.3,4.69,
-0.48,4.38,4.71,
-0.45,2.44,4.56,
-0.45,2.82,4.58,
-0.42,1.67,4.33,
-0.43,2.61,4.51,
-0.44,4.12,4.72,
-0.36,1.76,3.87,
-0.41,2.23,4.48,
-0.43,4.07,4.7,
-0.37,1.65,4.26,
-0.39,2.3,4.49,
-0.39,3.59,4.59,
-0.41,1.52,4.83,
-0.32,1.72,3.82,
-0.37,2.84,4.49,
-0.31,1.72,3.76,
-0.36,2.34,4.42,
-0.36,2.66,4.47,
-0.36,2.55,4.44,
-0.36,3.49,4.54,
-0.37,4.01,4.6,
-0.36,3.55,4.55,
-0.37,4.26,4.73,
-0.34,2.62,4.45,
-0.36,4.56,4.63,
-0.36,3.98,4.63,
-0.34,2.83,4.45,
-0.34,2.74,4.46,
-0.34,2.75,4.46,
-0.34,2.81,4.47,
-0.29,1.72,3.79,
-0.33,2.56,4.44,
-0.33,2.43,4.41,
-0.31,1.64,4.12,
-0.33,3.13,4.45,
-0.33,2.76,4.46,
-0.33,2.71,4.44,
-0.32,3.06,4.49,
-0.32,2.94,4.46,
-0.33,3.57,4.55,
-0.27,1.73,3.76,
-0.32,2.55,4.42,
-0.32,2.86,4.45,
-0.32,2.78,4.43,
-0.33,4.32,4.61,
-0.32,2.77,4.44,
-0.31,2.82,4.43,
-0.31,2.89,4.44,
-0.31,3.11,4.46,
-0.31,2.92,4.44,
-0.3,3.32,4.45,
-0.3,3.32,4.5,
-0.3,2.8,4.43,
-0.3,3.05,4.47,
